clube_nome_completo,apelido,posicao_nome,mando,adversario_nome,pontos_num,media_num,jogos_num,preco_num,variacao_num
Remo,Kayky Almeida,Zagueiro,Casa,MIR,0.6,0.6,1,1.85,-0.15
Chapecoense,Rafael Santos,Goleiro,Fora,VAS,0.0,0.0,0,3.0,0.0
Remo,João Pedro,Atacante,Casa,MIR,-1.0,-1.0,1,2.1,-0.9
Chapecoense,Giovanni Augusto,Meia,Fora,VAS,1.7,1.7,1,4.69,-0.31
Remo,Yago Ferreira,Meia,Casa,MIR,0.0,0.0,0,2.0,0.0
Remo,Diego Hernández,Meia,Casa,MIR,0.0,0.0,0,4.0,0.0
Remo,Nicolás Ferreira,Atacante,Casa,MIR,0.0,0.0,0,3.0,0.0
Chapecoense,Léo Vieira,Goleiro,Fora,VAS,2.2,2.2,1,2.41,0.41
Remo,Eduardo Melo,Atacante,Casa,MIR,1.4,1.4,1,2.13,0.13
Remo,PH Gama,Meia,Casa,MIR,0.0,0.0,0,2.0,0.0
Remo,Marcos Alexandre,Goleiro,Casa,MIR,0.0,0.0,0,1.0,0.0
Remo,Cristian Tassano,Zagueiro,Casa,MIR,0.0,0.0,0,3.0,0.0
Chapecoense,Gilmar Dal Pozzo,Técnico,Fora,VAS,7.95,7.95,1,5.24,2.24
Chapecoense,Bruno Leonardo,Zagueiro,Fora,VAS,0.0,0.0,0,3.0,0.0
Chapecoense,Marcinho,Atacante,Fora,VAS,1.6,1.6,1,3.02,0.02
Chapecoense,Marcos Vinícius,Lateral,Fora,VAS,-1.3,-1.3,1,2.0,-1.0
Chapecoense,Neto Pessoa,Atacante,Fora,VAS,0.0,0.0,0,3.0,0.0
Chapecoense,Victor Caetano,Zagueiro,Fora,VAS,3.0,3.0,1,3.51,0.51
Chapecoense,Jean Carlos,Meia,Fora,VAS,13.0,13.0,1,7.83,3.83
Chapecoense,Perotti,Atacante,Fora,VAS,0.0,0.0,0,4.0,0.0
Chapecoense,Eduardo Doma,Zagueiro,Fora,VAS,3.0,3.0,1,2.69,0.69
Chapecoense,Walter Clar,Lateral,Fora,VAS,9.5,9.5,1,6.6,2.6
Chapecoense,Bressan,Zagueiro,Fora,VAS,0.0,0.0,0,3.0,0.0
Remo,João Victor,Goleiro,Casa,MIR,0.0,0.0,0,1.0,0.0
Chapecoense,Rafael Thyere,Zagueiro,Fora,VAS,0.0,0.0,0,4.0,0.0
Mirassol,Walter,Goleiro,Fora,REM,4.2,4.2,1,5.56,0.56
Chapecoense,Rafael Carvalheira,Meia,Fora,VAS,9.2,9.2,1,6.5,2.5
Chapecoense,Camilo,Meia,Fora,VAS,4.4,4.4,1,4.82,0.82
Chapecoense,João Paulo,Zagueiro,Fora,VAS,7.0,7.0,1,4.91,1.91
Chapecoense,Ênio,Atacante,Fora,VAS,0.0,0.0,0,4.0,0.0
Chapecoense,João Vitor,Meia,Fora,VAS,0.0,0.0,0,3.0,0.0
Chapecoense,Mancha,Lateral,Fora,VAS,0.0,0.0,0,3.0,0.0
Chapecoense,Rubens,Atacante,Fora,VAS,0.0,0.0,0,2.0,0.0
Chapecoense,Everton,Lateral,Fora,VAS,2.7,2.7,1,3.4,0.4
Chapecoense,Higor Meritão,Meia,Fora,VAS,13.4,13.4,1,7.97,3.97
Chapecoense,Gustavo Talles,Lateral,Fora,VAS,0.0,0.0,0,2.0,0.0
Flamengo,Vitão,Zagueiro,Casa,INT,0.0,0.0,0,9.0,0.0
Athlético-PR,Arthur Dias,Zagueiro,Casa,COR,8.0,8.0,1,5.26,2.26
Chapecoense,Robert,Meia,Fora,VAS,3.0,3.0,1,3.51,0.51
Internacional,Bernabéi,Lateral,Fora,FLA,1.0,1.0,1,9.35,-1.65
Flamengo,Rossi,Goleiro,Casa,INT,0.6,0.6,1,7.57,-1.43
Chapecoense,Ítalo,Atacante,Fora,VAS,2.9,2.9,1,2.65,0.65
Mirassol,Eduardo,Meia,Fora,REM,7.0,7.0,1,7.36,1.36
Chapecoense,David,Meia,Fora,VAS,0.0,0.0,0,1.0,0.0
Chapecoense,Kauan,Zagueiro,Fora,VAS,0.0,0.0,0,1.0,0.0
Mirassol,Reinaldo,Lateral,Fora,REM,0.8,0.8,1,14.19,-2.81
Fluminense,Lucho Acosta,Meia,Fora,BAH,13.8,13.8,1,11.38,3.38
Chapecoense,Palacios,Atacante,Fora,VAS,0.0,0.0,0,2.0,0.0
Chapecoense,Mailson,Atacante,Fora,VAS,0.0,0.0,0,2.0,0.0
Cruzeiro,Kaiki Bruno,Lateral,Casa,CFC,2.2,2.2,1,12.23,-1.77
Bahia,Everton Ribeiro,Meia,Casa,FLU,1.5,1.5,1,8.71,-1.29
Mirassol,Rodrigo Rodrigues,Atacante,Fora,REM,0.0,0.0,0,4.0,0.0
São Paulo,Luciano,Atacante,Fora,SAN,15.3,15.3,1,20.09,2.09
Santos,Gustavo Henrique,Meia,Casa,SAO,0.0,0.0,0,2.0,0.0
Santos,Barreal,Meia,Casa,SAO,12.6,12.6,1,14.24,2.24
Corinthians,Yuri Alberto,Atacante,Fora,CAP,0.7,0.7,1,15.79,-3.21
Grêmio,Braithwaite,Atacante,Casa,BOT,0.0,0.0,0,13.0,0.0
Atlético-MG,Hulk,Atacante,Fora,RBB,5.3,5.3,1,14.95,-1.05
São Paulo,Felipe Negrucci,Meia,Fora,SAN,0.0,0.0,0,2.0,0.0
Palmeiras,Andreas Pereira,Meia,Casa,VIT,6.7,6.7,1,14.62,-0.38
Cruzeiro,Nicolas Pontes,Lateral,Casa,CFC,0.0,0.0,0,1.0,0.0
Santos,Caballero,Atacante,Casa,SAO,1.6,1.6,1,3.83,-0.17
Santos,Miguelito,Meia,Casa,SAO,3.6,3.6,1,4.54,0.54
Cruzeiro,William Fernando,Lateral,Casa,CFC,0.0,0.0,0,1.0,0.0
Cruzeiro,Fernando,Atacante,Casa,CFC,0.0,0.0,0,1.0,0.0
Cruzeiro,Vitinho,Meia,Casa,CFC,0.0,0.0,0,2.0,0.0
Santos,Mateus Xavier,Atacante,Casa,SAO,0.0,0.0,0,2.0,0.0
Cruzeiro,Bruno Alves,Zagueiro,Casa,CFC,0.0,0.0,0,2.0,0.0
Cruzeiro,Rodriguinho,Meia,Casa,CFC,0.0,0.0,0,3.0,0.0
Grêmio,Enamorado,Atacante,Casa,BOT,1.2,1.2,1,7.78,-1.22
Cruzeiro,Cauan Baptistella,Meia,Casa,CFC,0.0,0.0,0,2.0,0.0
Cruzeiro,Rhuan Gabriel,Meia,Casa,CFC,0.0,0.0,0,1.0,0.0
Chapecoense,Bolasie,Atacante,Fora,VAS,1.2,1.2,1,5.33,-0.67
Cruzeiro,Kaiquy Luiz,Zagueiro,Casa,CFC,0.0,0.0,0,1.0,0.0
Cruzeiro,Janderson,Zagueiro,Casa,CFC,0.0,0.0,0,1.0,0.0
Palmeiras,Vitor Roque,Atacante,Casa,VIT,7.6,7.6,1,19.85,-1.15
Cruzeiro,Kaio Jorge,Atacante,Casa,CFC,2.2,2.2,1,14.68,-2.32
Remo,Thalisson Gabriel,Zagueiro,Casa,MIR,0.0,0.0,0,3.0,0.0
Bahia,Luciano Juba,Lateral,Casa,FLU,6.2,6.2,1,7.9,0.9
