adversario_nome,posicao_nome,mando,media_pontos_cedidos
BAH,Atacante,Fora,0.9333333333333333
BAH,Goleiro,Fora,0.7000000000000001
BAH,Lateral,Fora,1.8500000000000003
BAH,Meia,Fora,2.18
BAH,Técnico,Fora,5.55
BAH,Zagueiro,Fora,1.34
BOT,Atacante,Casa,2.5125
BOT,Goleiro,Casa,1.0666666666666667
BOT,Lateral,Casa,1.25
BOT,Meia,Casa,0.6181818181818183
BOT,Técnico,Casa,4.47
BOT,Zagueiro,Casa,2.35
CAM,Atacante,Casa,1.2000000000000002
CAM,Goleiro,Casa,1.9
CAM,Lateral,Casa,5.32
CAM,Meia,Casa,1.52
CAM,Técnico,Casa,8.07
CAM,Zagueiro,Casa,2.1999999999999997
CAP,Atacante,Fora,0.8714285714285713
CAP,Goleiro,Fora,0.7333333333333334
CAP,Lateral,Fora,1.6499999999999997
CAP,Meia,Fora,4.136363636363637
CAP,Técnico,Fora,6.6
CAP,Zagueiro,Fora,1.7799999999999998
CFC,Atacante,Casa,0.3909090909090909
CFC,Goleiro,Casa,-0.675
CFC,Lateral,Casa,0.4428571428571429
CFC,Meia,Casa,0.7285714285714285
CFC,Técnico,Casa,1.37
CFC,Zagueiro,Casa,0.028571428571428574
CHA,Atacante,Casa,0.9625
CHA,Goleiro,Casa,0.6333333333333333
CHA,Lateral,Casa,1.5250000000000001
CHA,Meia,Casa,1.9642857142857142
CHA,Técnico,Casa,4.0
CHA,Zagueiro,Casa,0.19999999999999996
COR,Atacante,Casa,2.0999999999999996
COR,Goleiro,Casa,2.875
COR,Lateral,Casa,3.1999999999999997
COR,Meia,Casa,0.10000000000000002
COR,Técnico,Casa,8.09
COR,Zagueiro,Casa,3.8714285714285714
CRU,Atacante,Fora,1.3
CRU,Goleiro,Fora,2.925
CRU,Lateral,Fora,1.42
CRU,Meia,Fora,1.4555555555555557
CRU,Técnico,Fora,4.32
CRU,Zagueiro,Fora,1.04
FLA,Atacante,Fora,0.7571428571428571
FLA,Goleiro,Fora,0.9
FLA,Lateral,Fora,0.925
FLA,Meia,Fora,0.9333333333333332
FLA,Técnico,Fora,2.26
FLA,Zagueiro,Fora,0.58
FLU,Atacante,Casa,2.611111111111111
FLU,Goleiro,Casa,1.4000000000000001
FLU,Lateral,Casa,2.12
FLU,Meia,Casa,0.7111111111111111
FLU,Técnico,Casa,5.19
FLU,Zagueiro,Casa,0.27999999999999997
GRE,Atacante,Fora,2.7818181818181817
GRE,Goleiro,Fora,2.55
GRE,Lateral,Fora,4.983333333333333
GRE,Meia,Fora,4.1875
GRE,Técnico,Fora,11.04
GRE,Zagueiro,Fora,1.24
INT,Atacante,Casa,3.4375
INT,Goleiro,Casa,0.15
INT,Lateral,Casa,1.54
INT,Meia,Casa,0.65
INT,Técnico,Casa,3.95
INT,Zagueiro,Casa,-0.02857142857142857
MIR,Atacante,Casa,0.1857142857142857
MIR,Goleiro,Casa,0.64
MIR,Lateral,Casa,0.44000000000000006
MIR,Meia,Casa,0.48125
MIR,Técnico,Casa,1.97
MIR,Zagueiro,Casa,1.2166666666666668
PAL,Atacante,Fora,3.2333333333333334
PAL,Goleiro,Fora,1.3599999999999999
PAL,Lateral,Fora,2.9857142857142853
PAL,Meia,Fora,1.2916666666666667
PAL,Técnico,Fora,9.26
PAL,Zagueiro,Fora,3.72
RBB,Atacante,Fora,1.2
RBB,Goleiro,Fora,1.85
RBB,Lateral,Fora,2.8
RBB,Meia,Fora,1.2666666666666666
RBB,Técnico,Fora,3.81
RBB,Zagueiro,Fora,0.3666666666666667
REM,Atacante,Fora,1.7399999999999998
REM,Goleiro,Fora,1.4000000000000001
REM,Lateral,Fora,0.96
REM,Meia,Fora,1.7714285714285716
REM,Técnico,Fora,4.8
REM,Zagueiro,Fora,0.6
SAN,Atacante,Fora,2.15
SAN,Goleiro,Fora,1.4000000000000001
SAN,Lateral,Fora,3.55
SAN,Meia,Fora,2.3333333333333335
SAN,Técnico,Fora,7.59
SAN,Zagueiro,Fora,2.65
SAO,Atacante,Casa,1.0571428571428572
SAO,Goleiro,Casa,-3.0
SAO,Lateral,Casa,1.5
SAO,Meia,Casa,3.875
SAO,Técnico,Casa,5.21
SAO,Zagueiro,Casa,0.07999999999999999
VAS,Atacante,Fora,0.5700000000000001
VAS,Goleiro,Fora,0.7333333333333334
VAS,Lateral,Fora,1.8166666666666664
VAS,Meia,Fora,5.5875
VAS,Técnico,Fora,7.95
VAS,Zagueiro,Fora,1.8571428571428572
VIT,Atacante,Casa,3.1375
VIT,Goleiro,Casa,-0.35
VIT,Lateral,Casa,1.1400000000000001
VIT,Meia,Casa,0.9199999999999999
VIT,Técnico,Casa,3.66
VIT,Zagueiro,Casa,0.24999999999999997
