Contagem de DS;;rodada;
nome;time;1;Total Geral
Allan;BOT;1;1
;PAL;1;1
Vitinho;BOT;1;1
;COR;1;1
;INT;;
Matheuzinho;COR;1;1
;VIT;1;1
Aguirre;CAP;1;1
;INT;1;1
Alan Franco;CAM;1;1
;SAO;1;1
Everton;CHA;1;1
;FLA;1;1
Victor Hugo;CAM;1;1
Memphis Depay;COR;1;1
Lucas Ronier;CFC;1;1
Alexander Barboza;BOT;1;1
Robert;CHA;1;1
Alexsander;CAM;1;1
Kayky Almeida;REM;1;1
Acevedo;BAH;1;1
Marçal;BOT;1;1
Amuzu;GRE;1;1
Pedro;FLA;1;1
André;COR;1;1
;GRE;;
Terán;CAP;1;1
Andreas Pereira;PAL;1;1
Willian Oliveira;CFC;1;1
Andrés Gómez;VAS;1;1
Léo Derik;CAP;1;1
Arboleda;SAO;1;1
Luciano Juba;BAH;1;1
Arthur Dias;CAP;1;1
Marlon;GRE;1;1
Arthur Melo;GRE;1;1
Nuno Moreira;VAS;1;1
Baralhas;VIT;1;1
Rafael Carvalheira;CHA;1;1
Barreal;SAN;1;1
Samuel Lino;FLA;1;1
Barros;VAS;1;1
Tinga;CFC;1;1
Benavídez;CAP;1;1
Wagner Leonardo;GRE;1;1
Bernabéi;INT;1;1
Josué;CFC;1;1
Bobadilla;SAO;1;1
Lautaro Díaz;SAN;1;1
Bolasie;CHA;1;1
Lucas Barbosa;RBB;1;1
Breno Bidon;COR;1;1
Lucho Acosta;FLU;1;1
Bruno Gomes;INT;1;1
Maicon;CFC;1;1
Bruno Melo;CFC;1;1
Marcos Antônio;SAO;1;1
Camilo;CHA;1;1
Ademir;BAH;1;1
Camutanga;VIT;1;1
Negueba;MIR;1;1
Canobbio;FLU;1;1
Paulinho;INT;1;1
Carlos Cuesta;VAS;1;1
Piquerez;PAL;1;1
Carlos Vinícius;GRE;1;1
Renan Lodi;CAM;1;1
Carrillo;COR;1;1
Rochet;INT;1;1
Cédric Soares;SAO;1;1
Santiago Rodríguez;BOT;1;1
Christian;CRU;1;1
Thiago Mendes;VAS;1;1
Cristian Olivera;BAH;1;1
Victor Caetano;CHA;1;1
Cuello;CAM;1;1
Alesson;MIR;1;1
Danilo;BOT;1;1
Walter Clar;CHA;1;1
