rodada;atleta_id;nome;time;adversario;mandante;posicao_id;pontos;CA;DS;FC;FF;I;FS;SG;G;FD;PS;DE;GS;PC;V;FT;A;GC;CV
1;100084;Igor Gomes;CAM;PAL;True;4;0.0;;;;;;;;;;;;;;;;;;
1;100342;Léo Andrade;REM;VIT;False;3;3.2;1.0;3.0;1.0;;;;;;;;;;;;;;;
1;100652;Yuri Alberto;COR;BAH;True;5;0.7;;;;1.0;1.0;;;;;;;;;;;;;
1;100742;Matheus Henrique;CRU;BOT;False;4;1.5;;1.0;;;;;;;;;;;;;;;;
1;100842;Ruan;CAM;PAL;True;3;-1.3;1.0;;1.0;;;;;;;;;;;;;;;
1;100898;Vitinho;BOT;CRU;True;2;7.7;;1.0;1.0;;;3.0;1.0;;;;;;;;;;;
1;100987;Nonato;FLU;GRE;True;4;6.4;1.0;;2.0;;;;;1.0;;;;;;;;;;
1;101254;Alef Manga;REM;VIT;False;5;0.9;;;1.0;1.0;1.0;1.0;;;;;;;;;;;;
1;101314;Ademir;BAH;COR;False;5;5.2;;1.0;;;;3.0;;;1.0;1.0;;;;;;;;
1;101393;Eduardo Doma;CHA;SAN;True;3;3.0;;2.0;;;;;;;;;;;;;;;;
1;101405;Wallisson;CFC;RBB;True;4;4.2;;3.0;1.0;;;;;;;;;;;;;;;
1;101574;Hugo Souza;COR;BAH;True;1;2.2;;;;;;;;;;;4.0;2.0;1.0;;;;;
1;101597;Ramon;VIT;REM;True;2;4.7;1.0;;1.0;;;2.0;1.0;;;;;;;;;;;
1;101727;Matheuzinho;COR;BAH;True;2;4.8;1.0;4.0;3.0;1.0;1.0;;;;;;;;;;;;;
1;101908;Willian Machado;MIR;VAS;True;3;0.0;1.0;;1.0;1.0;;1.0;;;;;;;;;;;;
1;101960;Vitinho;INT;CAP;True;5;1.9;;;1.0;1.0;1.0;3.0;;;;;;;;;;;;
1;102130;Piquerez;PAL;CAM;False;2;5.3;;2.0;;1.0;;3.0;;;;;;;;;;;;
1;102256;Rollheiser;SAN;CHA;False;4;2.5;;;;1.0;;1.0;;;1.0;;;;;;;;;
1;102667;Nathan Fogaça;MIR;VAS;True;5;-0.9;1.0;;2.0;1.0;1.0;;;;;;;;;;;;;
1;102796;Julimar;CAP;INT;False;5;0.8;;;;1.0;;;;;;;;;;;;;;
1;102911;Zé Ricardo;REM;VIT;False;4;0.1;1.0;1.0;3.0;;;1.0;;;;;;;;;;;;
1;102928;Canobbio;FLU;GRE;True;5;5.7;;2.0;1.0;1.0;;2.0;;;1.0;;;;;;;;;
1;103056;Gabriel Brazão;SAN;CHA;False;1;-6.0;1.0;;;;;;;;;;;4.0;1.0;;;;;
1;103445;Kaio Jorge;CRU;BOT;False;5;2.2;;;;3.0;2.0;;;;;;;;;;;;;
1;103767;Gabriel Menino;SAN;CHA;False;4;16.7;1.0;2.0;;3.0;1.0;4.0;;1.0;2.0;;;;;;;;;
