clube_nome_completo,apelido,posicao_nome,mando,adversario_nome,pontos_num,media_num,jogos_num,preco_num,variacao_num
Chapecoense,Gilmar Dal Pozzo,Técnico,Casa,CFC,3.66,5.81,2,5.44,0.2
Chapecoense,Marcos Vinícius,Lateral,Casa,CFC,0.0,-1.3,1,2.0,0.0
Chapecoense,Giovanni Augusto,Meia,Casa,CFC,0.9,1.3,2,4.31,-0.38
Chapecoense,Léo Vieira,Goleiro,Casa,CFC,13.0,7.6,2,5.6,3.19
Chapecoense,Victor Caetano,Zagueiro,Casa,CFC,5.0,4.0,2,4.37,0.86
Chapecoense,Eduardo Doma,Zagueiro,Casa,CFC,3.0,3.0,2,3.11,0.42
Chapecoense,Bruno Leonardo,Zagueiro,Casa,CFC,0.5,0.5,1,2.72,-0.28
Chapecoense,Walter Clar,Lateral,Casa,CFC,0.0,4.75,2,5.6,-1.0
Mirassol,Walter,Goleiro,Casa,CRU,4.5,4.35,2,6.01,0.45
Chapecoense,Anderson,Goleiro,Casa,CFC,0.0,0.0,0,3.0,0.0
Chapecoense,Everton,Lateral,Casa,CFC,3.2,2.95,2,3.8,0.4
Chapecoense,João Paulo,Zagueiro,Casa,CFC,0.0,7.0,1,4.91,0.0
Chapecoense,Camilo,Meia,Casa,CFC,0.7,2.55,2,4.32,-0.5
Chapecoense,Rafael Carvalheira,Meia,Casa,CFC,1.4,5.3,2,5.9,-0.6
Chapecoense,Neto Pessoa,Atacante,Casa,CFC,0.0,0.0,0,3.0,0.0
Chapecoense,Marcinho,Atacante,Casa,CFC,1.8,1.7,2,3.1,0.08
Chapecoense,Rafael Thyere,Zagueiro,Casa,CFC,0.0,0.0,0,4.0,0.0
Chapecoense,Perotti,Atacante,Casa,CFC,0.0,0.0,0,4.0,0.0
Chapecoense,Ênio,Atacante,Casa,CFC,0.0,0.0,0,4.0,0.0
Chapecoense,Jean Carlos,Meia,Casa,CFC,8.5,10.75,2,8.93,1.1
Chapecoense,Ítalo,Atacante,Casa,CFC,-0.1,1.4,2,2.24,-0.41
Chapecoense,João Vitor,Meia,Casa,CFC,0.0,0.0,0,3.0,0.0
Flamengo,Vitão,Zagueiro,Fora,VIT,0.0,0.0,0,9.0,0.0
Chapecoense,Rubens,Atacante,Casa,CFC,0.0,0.0,1,1.69,-0.31
Chapecoense,Gustavo Talles,Lateral,Casa,CFC,0.0,0.0,0,2.0,0.0
Chapecoense,Mancha,Lateral,Casa,CFC,0.0,0.0,0,3.0,0.0
Chapecoense,Robert,Meia,Casa,CFC,0.0,3.0,1,3.51,0.0
Athlético-PR,Arthur Dias,Zagueiro,Casa,SAN,0.0,8.0,1,5.26,0.0
Internacional,Bernabéi,Lateral,Casa,PAL,0.6,0.8,2,8.31,-1.04
Chapecoense,Mailson,Atacante,Casa,CFC,0.0,0.0,0,2.0,0.0
Flamengo,Rossi,Goleiro,Fora,VIT,2.9,1.75,2,7.39,-0.18
Chapecoense,David,Meia,Casa,CFC,0.0,0.0,1,0.85,-0.15
Chapecoense,Palacios,Atacante,Casa,CFC,0.0,0.0,0,2.0,0.0
Fluminense,Lucho Acosta,Meia,Casa,BOT,4.4,9.1,2,10.9,-0.48
Palmeiras,Andreas Pereira,Meia,Fora,INT,16.5,11.6,2,17.15,2.53
Mirassol,Rodrigo Rodrigues,Atacante,Casa,CRU,0.0,0.0,0,4.0,0.0
Mirassol,Reinaldo,Lateral,Casa,CRU,2.0,1.4,2,12.93,-1.26
Cruzeiro,Kaiki Bruno,Lateral,Fora,MIR,3.2,2.7,2,11.52,-0.71
São Paulo,Felipe Negrucci,Meia,Casa,GRE,0.0,0.0,0,2.0,0.0
Bahia,Everton Ribeiro,Meia,Fora,VAS,1.8,1.65,2,8.07,-0.64
Mirassol,Eduardo,Meia,Casa,CRU,2.5,4.75,2,6.99,-0.37
Santos,Barreal,Meia,Fora,CAP,5.6,9.1,2,13.75,-0.49
Corinthians,Yuri Alberto,Atacante,Casa,RBB,0.0,0.7,1,15.79,0.0
Chapecoense,Kauan,Zagueiro,Casa,CFC,0.0,0.0,0,1.0,0.0
São Paulo,Luciano,Atacante,Casa,GRE,4.8,10.05,2,18.59,-1.5
Atlético-MG,Hulk,Atacante,Casa,REM,2.4,3.85,2,13.62,-1.33
Grêmio,Braithwaite,Atacante,Fora,SAO,0.0,0.0,0,13.0,0.0
Santos,Gustavo Henrique,Meia,Fora,CAP,0.0,0.0,0,2.0,0.0
Cruzeiro,Fernando,Atacante,Fora,MIR,0.0,0.0,0,1.0,0.0
