adversario_nome,posicao_nome,mando,media_pontos_cedidos
BAH,Atacante,Casa,2.8
BAH,Goleiro,Casa,-0.3333333333333333
BAH,Lateral,Casa,2.6399999999999997
BAH,Meia,Casa,1.830769230769231
BAH,Técnico,Casa,5.73
BAH,Zagueiro,Casa,0.45
BOT,Atacante,Casa,1.8777777777777775
BOT,Goleiro,Casa,1.8333333333333333
BOT,Lateral,Casa,2.0833333333333335
BOT,Meia,Casa,0.9199999999999999
BOT,Técnico,Casa,4.3
BOT,Zagueiro,Casa,0.64
CAM,Atacante,Fora,2.9555555555555557
CAM,Goleiro,Fora,0.64
CAM,Lateral,Fora,0.55
CAM,Meia,Fora,1.3823529411764706
CAM,Técnico,Fora,5.85
CAM,Zagueiro,Fora,1.4833333333333334
CAP,Atacante,Fora,0.35000000000000003
CAP,Goleiro,Fora,0.8
CAP,Lateral,Fora,1.0666666666666667
CAP,Meia,Fora,1.7583333333333335
CAP,Técnico,Fora,3.09
CAP,Zagueiro,Fora,0.41999999999999993
CFC,Atacante,Casa,0.29090909090909095
CFC,Goleiro,Casa,4.333333333333333
CFC,Lateral,Casa,0.5333333333333333
CFC,Meia,Casa,1.55
CFC,Técnico,Casa,3.66
CFC,Zagueiro,Casa,1.2142857142857142
CHA,Atacante,Fora,2.91
CHA,Goleiro,Fora,0.725
CHA,Lateral,Fora,1.56
CHA,Meia,Fora,1.0899999999999999
CHA,Técnico,Fora,5.49
CHA,Zagueiro,Fora,-0.26
COR,Atacante,Fora,1.0625
COR,Goleiro,Fora,1.575
COR,Lateral,Fora,2.88
COR,Meia,Fora,1.9222222222222218
COR,Técnico,Fora,6.95
COR,Zagueiro,Fora,2.3625
CRU,Atacante,Casa,2.1399999999999997
CRU,Goleiro,Casa,1.5
CRU,Lateral,Casa,2.425
CRU,Meia,Casa,1.5
CRU,Técnico,Casa,5.45
CRU,Zagueiro,Casa,2.48
FLA,Atacante,Casa,0.7181818181818183
FLA,Goleiro,Casa,-0.48
FLA,Lateral,Casa,1.3571428571428572
FLA,Meia,Casa,1.4666666666666668
FLA,Técnico,Casa,3.41
FLA,Zagueiro,Casa,0.9800000000000001
FLU,Atacante,Fora,1.1
FLU,Goleiro,Fora,-0.275
FLU,Lateral,Fora,0.8166666666666665
FLU,Meia,Fora,3.1666666666666665
FLU,Técnico,Fora,5.02
FLU,Zagueiro,Fora,2.16
GRE,Atacante,Casa,2.3125
GRE,Goleiro,Casa,0.9666666666666667
GRE,Lateral,Casa,1.3
GRE,Meia,Casa,2.37
GRE,Técnico,Casa,4.97
GRE,Zagueiro,Casa,0.5166666666666667
INT,Atacante,Fora,2.375
INT,Goleiro,Fora,1.7
INT,Lateral,Fora,3.08
INT,Meia,Fora,4.159999999999999
INT,Técnico,Fora,10.45
INT,Zagueiro,Fora,6.125
MIR,Atacante,Fora,0.6545454545454545
MIR,Goleiro,Fora,-0.5
MIR,Lateral,Fora,0.9428571428571428
MIR,Meia,Fora,2.230769230769231
MIR,Técnico,Fora,4.15
MIR,Zagueiro,Fora,0.6857142857142857
PAL,Atacante,Casa,3.442857142857143
PAL,Goleiro,Casa,0.9666666666666667
PAL,Lateral,Casa,0.35
PAL,Meia,Casa,1.0
PAL,Técnico,Casa,4.28
PAL,Zagueiro,Casa,1.34
RBB,Atacante,Casa,0.0
RBB,Goleiro,Casa,0.0
RBB,Lateral,Casa,0.0
RBB,Meia,Casa,0.0
RBB,Técnico,Casa,0.0
RBB,Zagueiro,Casa,0.0
REM,Atacante,Casa,1.1285714285714286
REM,Goleiro,Casa,1.4000000000000001
REM,Lateral,Casa,1.225
REM,Meia,Casa,0.6666666666666666
REM,Técnico,Casa,2.63
REM,Zagueiro,Casa,0.65
SAN,Atacante,Casa,0.0
SAN,Goleiro,Casa,0.0
SAN,Lateral,Casa,0.0
SAN,Meia,Casa,0.0
SAN,Técnico,Casa,0.0
SAN,Zagueiro,Casa,0.0
SAO,Atacante,Fora,6.0875
SAO,Goleiro,Fora,-0.5666666666666667
SAO,Lateral,Fora,1.4500000000000002
SAO,Meia,Fora,1.6
SAO,Técnico,Fora,8.65
SAO,Zagueiro,Fora,1.75
VAS,Atacante,Fora,2.08
VAS,Goleiro,Fora,0.9666666666666667
VAS,Lateral,Fora,1.92
VAS,Meia,Fora,1.5666666666666664
VAS,Técnico,Fora,4.72
VAS,Zagueiro,Fora,0.9
VIT,Atacante,Fora,0.7
VIT,Goleiro,Fora,0.725
VIT,Lateral,Fora,1.24
VIT,Meia,Fora,1.5666666666666667
VIT,Técnico,Fora,3.26
VIT,Zagueiro,Fora,0.4000000000000001
